,13C,1H,Intensity
1,29.89,1.33,139498304
2,35.28,1.35,109651760
3,29.09,1.24,102899344
4,41.03,2.37,102336928
5,38.65,0.93,84430320
6,32.11,1.28,79321720
7,34.64,1.2,77508400
8,31.96,1.49,76648696
9,40.79,1.74,76497544
10,41.06,2.28,71286312
11,33.98,1.18,68713952
12,21.75,1.95,65377936
13,35.14,1.44,57032000
14,35.56,1.55,54561656
15,17.71,1.38,52956576
16,17.42,1.49,52019068
17,40.82,1.27,51192860
18,21.72,1.01,45371024
19,21.73,1.67,45077376
20,16.21,0.71,41958080
21,38.81,1.47,40392824
22,19.46,0.85,39909248
23,8.22,0.87,32124000
24,21.66,1.52,14716756
25,44.77,1.54,14217205
26,59.11,1.68,-16422583
27,37.35,1.25,-16732431
28,43.18,2.37,-20163738
29,37.55,1.36,-24069832
30,37.59,1.55,-30110964
31,59.18,1.52,-104794176
32,42.36,1.54,-106188816
33,19.09,0.99,-116914312
34,19.33,0.99,-118366656
35,17.38,0.85,-119109312
36,18.42,1.02,-120597192
37,6,0.86,-126199240
38,52.72,1.38,-137382064
39,57.91,2.23,-141243280
40,14.01,0.71,-170583456
41,34.54,0.94,-187102880
42,31.62,1.16,-206756304
43,31.19,0.99,-221573184
