13C,1H,Intensity
125.59,7.34,0.1142
122.9,7.29,0.12189
121.78,7.99,0.1437
111.08,7.48,0.13274
62.03,3.97,-0.0183
61.67,3.81,0.08113
61.42,4.04,-0.00961
61.39,3.97,0.67755
61.17,3.75,0.08833
61.03,4.16,0.46044
60.77,4.03,0.67088
60.6,4.35,0.07447
55.9,3.85,0.03613
51.8,3.5,0.15716
33.35,2.31,-0.0228
29.45,1.22,-0.10576
28.81,1.28,-0.05031
27.76,0.93,0.02042
24.44,1.59,-0.02097
23.16,1.02,0.03074
20.91,0.9,0.0239
18.22,1.01,0.02743
16.85,0.81,0.02571
16.57,0.75,0.03133
13.83,0.85,0.02815
-0.23,-0.04,0.10063
